ENCFF010PHG	H3K27ac
ENCFF020MPQ	H3K4me3
ENCFF038HNR	H3K27ac
ENCFF057GBT	H3K4me1
ENCFF069NPX	H3K4me1
ENCFF096ARJ	H3K27me3
ENCFF103LXP	H3K4me1
ENCFF133IKY	H3K4me1
ENCFF145SWO	H3K4me1
ENCFF149IFW	H3K27ac
ENCFF167NBF	H3K27me3
ENCFF167TFD	H3K9me3
ENCFF175PNA	H3K36me3
ENCFF180LKW	H3K27ac
ENCFF217HNY	H3K4me1
ENCFF240TPI	H3K4me3
ENCFF242SAO	H3K9me3
ENCFF255NQJ	H3K4me1
ENCFF312LYO	H3K27me3
ENCFF317XZL	H3K9me3
ENCFF322JKF	H3K27me3
ENCFF347APS	H3K4me3
ENCFF369TFH	H3K27me3
ENCFF371IXA	H3K36me3
ENCFF388WMD	H3K27ac
ENCFF404NFC	H3K36me3
ENCFF420DLT	H3K27me3
ENCFF433BXX	H3K9me3
ENCFF444SGK	H3K4me1
ENCFF448MHL	H3K36me3
ENCFF511EHA	H3K4me3
ENCFF530JCY	H3K36me3
ENCFF531OEA	H3K4me1
ENCFF559FSM	H3K36me3
ENCFF576CBL	H3K4me3
ENCFF614FMI	H3K27me3
ENCFF648WWQ	H3K4me3
ENCFF662QFK	H3K36me3
ENCFF678IWR	H3K36me3
ENCFF682WPF	H3K4me1
ENCFF689TMV	H3K4me3
ENCFF699TXY	H3K4me3
ENCFF709GNN	H3K9me3
ENCFF710PAX	H3K27me3
ENCFF741UBT	H3K4me3
ENCFF750RYK	H3K36me3
ENCFF761QZP	H3K9me3
ENCFF776OVW	H3K9me3
ENCFF809EWV	H3K27ac
ENCFF818GNV	H3K4me3
ENCFF834YLI	H3K9me3
ENCFF839GUX	H3K36me3
ENCFF858MGD	H3K27ac
ENCFF881LOL	H3K9me3
ENCFF900NVE	H3K27ac
ENCFF904SAV	H3K9me3
ENCFF958BAN	H3K27me3
ENCFF962BVB	H3K27me3
ENCFF977DET	H3K27ac
ENCFF981WTU	H3K27ac
ENCFF607IFJ H3K36me3
ENCFF703RSA H3K36me3
